happiness,'HH AE P IY N AH S',s,'AE IY'
but,'B AH T',s,''
that,'DH AE T',s,'AE'
thou,'DH AW',s,''
art,'AA R T',s,'AA'
so,'S OW',s,''
fast,'F AW S T',s,''
enemy,'EH N AH M IY',s,'IY'
so,'S OW',s,''
let,'L EH T',s,''
it,'IH T',s,'IH'
me,'M IY',s,'IY'
against,'AH G EH N S T',s,''
as,'AE Z',s,'AE'
i,'AY',s,'AY'
in,'IH N',s,'IH'
and,'AH N D',s,''
true,'T R UW',s,'UW'
it,'IH T',s,'IH'
a,'AH',s,''
dreadful,'D R EH D F AH L',s,''
thee,'DH IY',s,'IY'
instantly,'IH N S T AH N T L IY',s,'IH IY'
thus,'DH ɤ S',s,''
war,'W AO R',s,'AO'
hath,'HH AE TH',s,'AE'
given,'G IH V AH N',s,'IH'
thee,'DH IY',s,'IY'
for,'F AO R',s,'AO'
thou,'DH AW',s,''
art,'AA R T',s,'AA'
still,'S T IH L',s,'IH'
with,'W IH DH',s,'IH'
his,'HH IH Z',s,'IH'
soul,'S OW L',s,''
heaven,'HH EH V AH N',s,''
if,'IH F',s,'IH'
it,'IH T',s,'IH'
be,'B IY',s,'IY'
will,'W IH L',s,'IH'
of,'AH V',s,''
who,'HH UW',s,'UW'
can,'K AE N',s,'AE'
report,'r IH P AO R T',s,'IH AO'
of,'AH V',s,''
him,'HH IH M',s,'IH'
that,'DH AE T',s,'AE'
who,'HH UW',s,'UW'
in,'IH N',s,'IH'
contusions,'K AH N T UW ZH AH N Z',s,'UW'
and,'AH N D',s,''
all,'AA L',s,'AA'
brush,'B r ɤ SH',s,''
of,'AH V',s,''
and,'AH N D',s,''
a,'AH',s,''
gallant,'G AE L AH N T',s,'AE'
in,'IH N',s,'IH'
the,'DH AH',s,''
brow,'B r ə UH',s,'UH'
of,'AH V',s,''
youth,'Y UW TH',s,'UW'
repairs,'R IH P EH R Z',s,'IH'
him,'HH IH M',s,'IH'
with,'W IH DH',s,'IH'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
not,'N AA T',s,'AA'
itself,'IH T S EH L F',s,'IH'
nor,'N AO R',s,'AO'
we,'W IY',s,'IY'
won,'W ɤ N',s,''
foot,'F UH T',s,'UH'
if,'IH F',s,'IH'
be,'B IY',s,'IY'
lost,'L AO S T',s,'AO'
i,'AY',s,'AY'
our,'OW R',s,''
safety,'S EH F T ǝ IH',s,'IH'
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
them,'DH EH M',s,''
for,'F AO R',s,'AO'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
the,'DH AH',s,''
is,'IH Z',s,'IH'
fled,'F L EH D',s,''
to,'T UW',s,'UW'
london,'L AH N D AH N',s,''
to,'T UW',s,'UW'
call,'K AO L',s,'AO'
a,'AH',s,''
present,'P r IH Z e N T',s,'IH'
court,'K AO R T',s,'AO'
of,'AH V',s,''
parliament,'P AA R L AH M AH N T',s,'AA'
let,'L EH T',s,''
us,'AH S',s,''
him,'HH IH M',s,'IH'
the,'DH AH',s,''
writs,'R IH T S',s,'IH'
go,'G OW',s,''
forth,'F AO R TH',s,'AO'
what,'W AH T',s,''
lord,'L AO R D',s,'AO'
shall,'SH AE L',s,'AE'
we,'W IY',s,'IY'
after,'AW F T ǝ R',s,''
them,'DH EH M',s,''
