a / an | =
griping | ˈgrǝɪpɪn, -ɪŋ
grise | gri:z
grisly | ˈgrɪzlǝɪ
Grissel | =
grizzle | =
grizzled | =
groan / ~s | ˈgro:n / -z
groan / ~s / ~ing / ~ed | gro:n / -z / ˈgro:nɪn, -ɪŋ / gro:nd
groaning | ˈgro:nɪn, -ɪŋ
groat / ~s | ˈgro:t / -s
groin | grǝɪn
groom / ~s | gru:m, grʊm / -z
grop·e / ~ing / ~ed | ˈgro:pɪn, -ɪŋ / gro:pt
gros | gro:s
gross / ~er | gro:s, grɒs / ˈgro:sǝɹ, ˈgrɒs-
gross | gro:s, grɒs
grossly | ˈgro:slǝɪ, ˈgrɒs-
grossness | ˈgro:snǝs, ˈgrɒs-
ground / ~s | grǝʊnd, Macmorris H5 3.2.112 grynd / -z
ground / ~ed | ˈgrǝʊndɪd
grounded | ˈgrǝʊndɪd
groundling / ~s | ˈgrǝʊndlɪnz, -ɪŋz
grove / ~s | grɤv, gro:v / -z
grovel / ~ling | = / ˈgrovlɪn, -ɪŋ, -vǝl-
grow / ~est / ~s / ~eth / ~ing / grew / ~est / grown | gro: / -st / -z / ˈgro:·ǝɵ / -ɪn, -ɪŋ / = / gru:st / gro:n
growing | ˈgro:ɪn, -ɪŋ
grown | gro:n
growth | gro:ɵ
grub / ~s | grɤb / -z
grub / ~bed | grɤbd
grudge / ~s | grɤdʒ / ˈgrɤdʒɪz
grudge / ~d | grɤdʒ / -d
grudging | ˈgrɤdʒɪn, -ɪŋ
gruel | =
grumble / ~st | ˈgrɤm·bǝl / -blǝst
grumbling | ˈgrɤmblɪn, -ɪŋ, -ml-
grumbling / ~s | ˈgrɤmblɪnz, -ɪŋz, -ml-
Grumio / ~’s | m ˈgru:mɪo: [2 sylls], ˈgru:mɪˌo: / ˈgru:mɪo:z [2 sylls]
grunt / ~est | grɤnt / grɤnst, -ntst
Gualtier | ˈwɑltǝɹ
guard / ~s | gɑ:ɹd / -z
guard / ~s / ~ed | gɑ:ɹd / -z / ˈgɑ:ɹdɪd
guardage | ˈgɑ:ɹdɪdʒ
guardant | ˈgɑ:ɹdǝnt
guardian / ~s | ˈgɑ:ɹdɪǝn / -z
guardsman | ˈgɑ:ɹdzmǝn
gudgeon | ˈgɤdʒɪn
guerdon | ˈgɐ:ɹdǝn
guerdon / ~ned | ˈgɐ:ɹdǝnd
guerra, de la | ˌdelaˈgɛra
guess / ~es | =
guess / ~ed | =
guessingly | m ˈgesɪnˌlǝɪ, -ɪŋ-
guest / ~s | =
guestwise | m ˌgestˈwǝɪz
Guiana | gǝɪˈana
Guichard | ˈgi:ʃɑ:ɹd
guide / ~s | gǝɪd / -z
guid·e / ~es / ~ing / ~ed | gǝɪd / -z / ˈgǝɪd·ɪn, -ɪŋ / -ɪd
guider | ˈgǝɪdǝɹ
Guiderius | gɪˈderɪǝs
guiding | ˈgǝɪdɪn, -ɪŋ
Guienne | gi:ˈen
Guildenstern | ˈgɪldǝnˌstɐ:ɹn
guilder / ~s | ˈgɪldǝɹz
Guildhall | ˈgɪldˌɑ:l, -ˌhɑ:l
guile | gǝɪl
guiled | m ˈgǝɪlɪd
guileful | ˈgǝɪlfʊl
Guilford / ~s | ˈgɪlfǝɹd / -z
guilt / ~s | =
Guiltian | ˈgɪltɪǝn
guiltily | m ˈgɪltɪˌlǝɪ
guiltiness | m ˈgɪltɪˌnes, -ɪnǝs
guiltless | ˈgɪltlǝs
guilt·y / ~ier | ˈgɪltǝɪ / -ǝɹ
guilty-like | ˈgɪltǝɪ-lǝɪk
guinea-hen | ˈgɪnǝɪ-ˌen, -ˌhen
Guinevere | ˈgwɪnǝvǝɹ
guise | gǝɪz
gules | gju:lz
gulf / ~s | gɤlf / -s
gull / ~s | gɤl / -z
gull / ~ed | gɤl / -d
gull-catcher | ˈgɤl-ˌkatʃǝɹ
gum / ~s | gɤm / -z
gummed | gɤmd
gun / ~’s / ~s | gɤn / -z
gunner | ˈgɤnǝɹ
gunpowder | ˈgɤnpǝʊdǝɹ
gunstone / ~s | ˈgɤnsto:nz
gurnet | ˈgɐ:ɹnǝt
Gurney | ˈgu:ɹnǝɪ
gust / ~s | gɤst / -s
gust | gɤst
gusty | ˈgɤstǝɪ
guts | gɤts
guts-griping | ˈgɤts-ˌgrǝɪpɪn, -ɪŋ
guttered | ˈgɤtǝɹd
Guy | gǝɪ
Guynes | gi:n
gyves | dʒǝɪvz
    H [letter] | ɛ:tʃ
ha | =
ha / ~s | a, = / -z
haberdasher / ~’s | ˈabǝɹˌdaʃǝɹ, ˈhab- / -z
habiliment / ~s | m aˈbɪlɪˌment, ha- / -s
habit / ~s | ˈabɪt, = / -s
habit / ~ed | ˈabɪtɪd, =
habitation | abɪˈtɛ:sɪǝn, ha-
hac [from Lat] | ak, hak
hack / ~s | aks, =
hack / ~ed | ak, = / -t
hacked | akt, =
Hacket | ˈakɪt, =
hackney | ˈaknǝɪ, ˈhak-
haeres | ˈheres
hag / -s | ag, = / -z
Hagar / ~’s | ˈɛ:gǝɹz / ˈhɛ:-
hag-born | ˈag-ˈbɔ:ɹn, ˈhag-
haggard / ~s | ˈagǝɹd, ˈhag- / -z
haggish | ˈagɪʃ, =
haggled | ˈagǝld, =
hag-seed | ˈag-ˌsi:d, =
hah | =
hail | ɛ:l, hɛ:l
hail / ~ed [greeting] | ɛ:ld, hɛ:ld
hail [rain] | ɛ:l, hɛ:l
hail-kissing | ˈɛ:l-ˌkɪsɪn, -ɪŋ, ˈhɛ:-
hailstone / ~s | ˈɛ:lsto:n, ˈhɛ:- / -z
hair / ~’s / ~s | ɛ:ɹ, hɛ:ɹ / -z
hairbreadth | ˈɛ:ɹbretɵ, ˈhɛ:-
hairless | ˈɛ:ɹlǝs, ˈhɛ:-
hairy | ˈɛ:ɹǝɪ, ˈhɛ:-
Hal | al, =
halberd / ~s | ˈɔ:lbǝɹd, ˈhɔ:l- / -z
halcyon / ~s | ˈalsɪǝn, = / -z
hale / ~s / ~ed | ɛ:l, hɛ:l / -z / -d
half / halves | ɔ:f, hɔ:f, Holofernes LLL 5.1.22 half / ɔ:vz, hɔ:-
half-achieved | ˈɔ:f-ǝˈtʃɪvd, ˈhɔ:-
half-a-dozen | ˈɔ:f-ǝ-ˈdɤzn, ˈhɔ:-
half-blasted | m ˌɔ:f-ˈblastɪd, ˌhɔ:-
half-blooded | m ˌɔ:f-ˈblɤdɪd, ˌhɔ:-
half-blown | ˈɔ:f-ˌblo:n, ˈhɔ:-
Half-Can [name] | ˈɔ:f-ˌkan, ˌhɔ:-
half-cap / ~s | ˈɔ:f-ˌkaps, ˌhɔ:-
half-checked | ˈɔ:f-ˌtʃekt, ˌhɔ:-
half-conquered | m ˌɔ:f-ˈkɒŋkǝɹd, ˌhɔ:-
half-dead | m ˌɔ:f-ˈded, ˌhɔ:-
half-dined | m ˌɔ:f-ˈdǝɪnd, ˌhɔ:-
half-drunk | m ˌɔ:f-ˈdrɤŋk, ˌhɔ:-
half-eclipsed | m ˌɔ:f-ɪˈklɪpst, ˌhɔ:-
half-face | ˈɔ:f-ˌfɛ:s, ˌhɔ:-
half-faced | ˈɔ:f-ˌfɛ:st, ˌhɔ:-
half-hour | ˈɔ:f-ˌo:ɹ, ˌhɔ:-
half-kirtle / ~s | ˈɔ:f-ˌkɐ:ɹtlz, ˌhɔ:-
half-malcontent | m ˌɔ:f-ˈmalkǝnˌtent, ˌhɔ:-
half-moon | m ˌɔ:f-ˈmu:n, ˌhɔ:-, -ˈmʊn
Half Moon [name] | m ˌɔ:f-ˈmu:n, ˌhɔ:-, -ˈmʊn
halfpence | ˈɔ:pǝns, ˈhɔ:-
halfpenny | ˈɔ:pnǝɪ, ˈhɔ:-
halfpennyworth | ˈɔ:pnǝɪˌwɔ:ɹɵ, ˈhɔ:-
half-pint | ˈɔ:f-ˌpǝɪnt, ˌhɔ:-
half-supped | ˈɔ:f-ˌsɤpt, ˌhɔ:-
half-sword | ˈɔ:f-ˌsɔ:ɹd, ˌhɔ:-
half-tale / ~s | m ˌɔ:f-ˈtɛ:lz, ˌhɔ:-
halfway | ˈɔ:fwɛ:, ˌhɔ:-
half-worker / ~s | m ˌɔ:f-ˈwɔ:ɹkǝɹz, ˌhɔ:-
half-world | m ˌɔ:f-ˈwɔ:ɹld, ˌhɔ:-
halidom | ˈɑlɪdǝm, ˈhɑl-, ˈɒ-, ˈhɒ-
hall | ɑ:l, hɑ:l
hallow [call] / ~ing / ~ed | ˈɑlǝ, ˈɑlo:, ˈhɑ- / -wɪn, -ɪŋ / -d
hallow [holy] / ~ed | ˈɑlǝ, ˈɑlo:, ˈhɑ- / -d
hallowed | ˈɑlǝd, ˈɑlo:d, ˈhɑ-
hallowing | ˈɑlǝwɪn, -ɪŋ, ˈhɑ-
Hallowmass | ˈɑlǝˌmas, -lo:-, ˈhɑ-
halt / ~s / ~ing | ɔ:t, hɔ:t / -s / ˈɔ:tɪn, -ɪŋ, ˈhɔ:-
halter / ~s | ˈɔ:tǝɹ, ˈhɔ:- / -z
haltered | ˈɔ:tǝɹd, ˈhɔ:-
halting | ˈɔ:tɪn, -ɪŋ, ˈhɔ:-
ham / ~s | amz, =
Hames | ɛ:mz, hɛ:-
Hamlet / ~’s | ˈamlǝt, = / -s
hammer / ~s | ˈamǝɹ, ˈha- / -z
hammer / ~ing / ~ed | ˈamǝɹ, ˈha- / ˈamrɪn, -ɪŋ, -mǝɹ-, ˈha- / ˈamǝɹd, ˈha-
hammered | ˈamǝɹd, ˈha-
hamper | ˈampǝɹ, ˈha-
hamstring | ˈamstrɪŋ, =
hand / ~s | and, = / -z
hand / ~ed | and, = / ˈandɪd, =
handed | ˈandɪd, =
handfast | ˈanfast, ˈha-, -ndf-
handful | ˈanfʊl, ˈha-, -ndf-
handicraft / ~s | ˈandǝɪˌkraft, ˈha- / -s
handiwork | ˈandǝɪˌwɔ:ɹk, ˈha-
handkercher / ~s | ˈaŋkǝɹtʃǝɹ, ˈha- / -z
handkerchief | ˈaŋkǝɹˌtʃɪf, ˈha-, -ˌtʃi:f
handle | ˈandl, =
handl·e / ~est / ~s / ~ing / ~d | ˈandl-, = / -st / -z / -ɪn, -ɪŋ / -d
handless | ˈandlǝs, =
handling | ˈandlɪn, -ɪŋ, ˈha-
handmaid / ~s | ˈandmɛ:d, ˈha- / -z
handsaw | ˈandsɔ:, =
handsome | ˈansǝm-, =
handsomely | m ˈansǝmˌlǝɪ, ˈha-, -ml-
handsomeness | m ˈansǝmˌnes, ˈha-
handwriting | ˈandˌrǝɪtɪn, -ɪŋ, ˈha-
handy-dandy | ˌandǝɪ-ˈdandǝɪ, ˌha-
hang / ~est / ~s / ~eth / ~ing / ~ed / hung | aŋ, = / -st / -z / ˈaŋg·ǝɵ, ˈha- / -ɪn, -ɪŋ / aŋd, = / ɤŋ, hɤŋ
hanger / ~s | ˈaŋgǝɹz, ˈha-
hang-hog | Quickly version of Evans’ ‘hanc hoc’ MW 3.1.44 ˈaŋ-ˈɒg, ˈhaŋ-ˈhɒg
hanging | ˈaŋgɪn, -ɪŋ, ˈha-
hanging / ~s | ˈaŋgɪn, -ɪŋ, ˈha- / -z
hangman / ~man’s / ~men | ˈaŋ·mǝn, ˈha- / -mǝnz / -mǝn
Hannibal | ˈanɪˌbɑl, ˈha-
hap / ~s | ap, = / -s
hap / ~s / ~ped | ap, = / -s / -t
hapless | ˈaplǝs, =
haply | ˈaplǝɪ, ˈha-
happen / ~ed | ˈapǝn, = / -d
happily | m ˈapɪˌlǝɪ, -pɪl-, -pl-, ˈha-
happiness | m ˈapɪˌnes, -ɪnǝs, ˈha-
happ·y / ~ier / ~iest | ˈapǝɪ, ˈha- / -ǝɹ / -ǝst
harbinger / ~s | m ˈɑ:ɹbɪndʒǝɹ, -ˌdʒɛɹ, ˈhɑ:- / -z
harbour | ˈɑ:ɹbǝɹ, ˈhɑ:-
harbour / ~s / ~ing / ~ed | ˈɑ:ɹbǝɹ, ˈhɑ:- / -z / -ɪn, -ɪŋ, ˈɑ:ɹbrɪn, -ɪŋ, ˈhɑ:- / -d
harbourage | ˈɑ:ɹbǝˌrɪdʒ, ˈhɑ:-
Harcourt | ˈɑ:ɹkǝɹt, ˈhɑ:-
hard / ~er / ~est | ɑ:ɹd, hɑ:- / ˈɑ:ɹd·ǝɹ, ˈhɑ:- / -ǝst
hard / ~er | ɑ:ɹd, hɑ:- / ˈɑ:ɹdǝɹ, ˈhɑ:-
harden / ~ing / ~ed | ˈɑ:ɹdnɪn, -ɪŋ, ˈhɑ:- / ˈɑ:ɹdǝnd, ˈhɑ:-
hardest-timbered | ˈɑ:ɹdǝs-ˌtɪmbǝɹd, ˌhɑ:-
hard-favoured | m ˌɑ:ɹd-ˈfɛ:vǝɹd, ˌhɑ:-
hard-handed | m ˌɑ:ɹd-ˈandɪd, ˌhɑ:-, -ˈha-
hard-hearted | m ˌɑ:ɹd-ˈɑ:ɹtɪd, ˌhɑ:-, -ˈhɑ:-
hardiment | m ˈɑ:ɹdɪˌment, ˈhɑ:-
hardiness | m ˈɑ:ɹdɪˌnes, ˈhɑ:-
hardly | ˈɑ:ɹdlǝɪ, ˈhɑ:-
hardness | ˈɑ:ɹdnǝs, ˈhɑ:-
hardock | ˈɑ:ɹdǝks, ˈhɑ:-
hard-ruled | ˈɑ:ɹd-ˌru:ld, ˈhɑ:-
hard·y / ~iest | ˈɑ:ɹdǝɪ, ˈhɑ:- / -ǝst
hare / ~s | ɛ:ɹ, hɛ:ɹ / -z
harebell | ˈɛ:ɹ-ˌbel, ˈhɛ:-
hare-brained | ˈɛ:ɹ-ˌbrɛ:nd, ˈhɛ:-
hare-finder | ˈɛ:ɹ-ˌfǝɪndǝɹ, ˈhɛ:-
harelip | m ˈɛ:ɹ-ˌlɪp, ˌɛ:ɹ-ˈlɪp, ˈhɛ:-, ˌhɛ:-
Harflew [Harfleur] | m ˈɑ:ɹflo:, ɑ:ɹˈflo:
hark | ɑ:ɹk, hɑ:-
harken / ~s / ~ing / ~ed | ˈɑ:ɹkǝn, ˈhɑ:- / -z / ˈɑ:ɹknɪn, -ɪŋ, ˈhɑ:- / ˈɑ:ɹkǝnd, ˈhɑ:-
harlot / ~’s / ~s | ˈɑ:ɹlǝt, ˈhɑ:- / -s
harlot-king | ˈɑ:ɹlǝt-ˈkɪŋ, ˈhɑ:-
harlotry | m ˈɑ:ɹlǝtrǝɪ, -ˌtrǝɪ, ˈhɑ:-
harm / ~s | ɑ:ɹm, hɑ:- / -z
harm / ~ed | ɑ:ɹm, hɑ:- / -d
harm-doing | m ˌɑ:ɹm-ˈdu:ɪn, -ɪŋ, ˌhɑ:-
harmful | ˈɑ:ɹmfʊl, ˈhɑ:-
harmless | ˈɑ:ɹmlǝs, ˈhɑ:-
harmonious | ɑ:ɹˈmo:nɪǝs, hɑ:-
harmony | m ˈɑ:ɹmǝˌnǝɪ, -mnǝɪ, ˈhɑ:-
harness | ˈɑ:ɹnǝs, ˈhɑ:-
harness / ~ed | ˈɑ:ɹnǝs, ˈhɑ:- / ˈɑ:ɹnǝst, ˈhɑ:-
harnessed | ˈɑ:ɹnǝst, ˈhɑ:-
Harold | ˈarǝld, ˈha-
harp | ɑ:ɹp, hɑ:-
harp / ~ing / ~ed | ɑ:ɹp, hɑ:- / ˈɑ:ɹpɪn, -ɪŋ, ˈhɑ:- / ɑ:ɹpt, hɑ:-
harper / ~s | ˈɑ:ɹpǝɹz, ˈhɑ:
Harpier | ˈɑ:ɹpɪǝɹ, ˈhɑ:- [2 sylls]
harpy | ˈɑ:ɹpǝɪ, ˈhɑ:-
harrow / ~s | ˈarǝ, ˈaro:, ˈha- / -z
harr·y / ~ied | ˈarǝɪd, ˈha-
Harry / ~’s | ˈarǝɪ, ˈhar- / -z
harsh | ɑ:ɹʃ, hɑ:-
harshly | ˈɑ:ɹʃlǝɪ, ˈhɑ:-
harshness | ˈɑ:ɹʃnǝs, ˈhɑ:-
harsh-resounding | ˈɑ:ɹʃ-rɪˈsǝʊndɪn, -ɪŋ, ˈhɑ:-
hart / ~s | ɑ:ɹt, hɑ:- / -s
hartlings | ˈɑ:ɹtlɪnz, -ɪŋz, ˈhɑ:-
harvest | ˈɑ:ɹvɪst, ˈhɑ:-
harvest-home | ˈɑ:ɹvɪst-ˌo:m, ˈhɑ:-, -ˌho:-
harvest-man | ˈɑ:ɹvɪst-ˌman, ˈhɑ:-
Harvey | ˈɑ:ɹvǝɪ, ˈhɑ:-
haste | ast, hast
hast·e / ~es / ~ing / ~ed | ast, ha- / -s / ˈast·ɪn, -ɪŋ, ˈha- / -ɪd
hasten / ~ing | ˈastǝn, ˈha- / ˈastnɪn, -ɪŋ, ˈha-
hastily | m ˈastɪˌlǝɪ, -lǝɪ, ˈha-
Hastings / ~’ | ˈastɪŋz, ˈhas-
hasty | ˈastǝɪ, ˈha-
hasty-footed | ˈastǝɪ-ˌfʊtɪd, ˈha-
hasty-witted | ˈastǝɪ-ˌwɪtɪd, ˈha-
hat / ~s | at, = / -s
hatch / ~es | atʃ, = / ˈatʃɪz, =
hatch / ~ed | atʃ, = / atʃt, =
hatchet | ˈatʃɪt, =
hatching | ˈatʃɪn, -ɪŋ, ˈha-
hatchment | ˈatʃmǝnt, =
hate / ~’s / ~s | ɛ:t, hɛ:- / -s
hat·e / ~est / ~s / ~eth / ~ing / ~ed | ɛ:t, hɛ:- / -s, -st / -s / ˈɛ:t·ǝɵ, hɛ:- / -ɪn, -ɪŋ / -ɪd
hated | ˈɛ:tɪd, ˈhɛ:-
hateful | ˈɛ:tfʊl, ˈhɛ:-
hater / ~s | ˈɛ:tǝɹ, ˈhɛ:- / -z
Hatfield | ˈatfi:ld, =
hatred | ˈɛ:trǝd, ˈhɛ:-
haud | hɔ:d
haught | ɔ:t, =
haughtiness | ˈɔ:tɪˌnes, ˈhɔ:-
haughty | ˈɔ:tǝɪ, ˈhɔ:-
haunch / ~es | ɔ:ntʃ, = / -ɪz
haunt / ~s | ɔ:nt, = / -s
haunt / ~s / ~ing / ~ed | ɔ:nt, = / -s / ˈɔ:nt·ɪn, -ɪŋ, ˈhɔ:- / -ɪd, =
haunted | ˈɔ:ntɪd, =
haunting | ˈɔ:ntɪn, -ɪŋ, ˈhɔ:-
hautbois / plural hautbois | ˈo:bǝɪ, ˈho:- / -z
have, abbr ha, a, ve / hast / has / hath / having / had / ~dest
- have, abbr ha, a, ve / hast / has / hath / having / had / ~dest | av, =, Fr H5 5.2.216 av, abbr str a, ha, unstr ǝ, v
- God have mercy abbr | ˌgɒdǝˈmɐ:ɹsǝɪ, ˈgɒdǝˌmɐ:ɹsǝɪ
- have it abbr | avt, at, ha-
- I have abbr | unstr ǝɪv, ǝv
- hast | str ast, =, unstr ǝst
- has | str az, =, unstr ǝz, z
- it has abbr | tǝz
- hath | str aɵ, =, unstr ǝɵ
- having | ˈavɪn, -ɪŋ, ˈha-
- had | str ad, =, unstr ǝd, d
- haddest | str ads, hads, -st, unstr ǝds, -st
haven | ˈavǝn, ˈha-
haver | ˈavǝɹ, ˈha-
having / ~s | ˈavɪn, -ɪŋ, ˈha- / -z
haviour | ˈɛ:vɪǝɹ, ˈhɛ:- [2 sylls]
havoc | ˈavǝk, =
hawk / ~s | ɔ:k, = / -s
hawk / ~ed | ɔ:k, = / -t
hawking | ˈɔ:kɪn, -ɪŋ, ˈhɔ:-
hawking [bird] / [throat] | ˈɔ:kɪn, -ɪŋ, ˈhɔ:-
hawthorn / ~s | ˈɔ:ɵɔ:ɹn, ˈhɔ:- / -z
hay [fencing] | aɪ, haɪ
hay [grass] | ɛ:, hɛ:
haystack / ~s | ˈɛ:staks, ˈhɛ:-
hazard | ˈazǝɹd, ˈha-
hazard / ~s / ~ed | ˈazǝɹd, ˈha- / -z / -ɪd
hazel | ˈazǝl, ˈasǝl, ˈha-
hazelnut | ˈazǝlˌnɤt, ˈas-, ˈha-
he, abbr a / him / himself / his
- he, abbr a | i:, =, unstr ɪ, ǝ
- he has abbr | unstr ǝz, hǝz
- he is abbr | str i:z, =, unstr ɪz
- he will abbr | str i:l, hi:l, unstr ɪl
- he would | str i:d, =, i:ld, hi:ld, unstr ɪd
- him | str ɪm, hɪm, unstr ɪm
- himself str | ɪmˈself, hɪm-
- his | str ɪz, hɪz, unstr ɪz, z
head / ~’s / ~s | ed, = / -z
head | ed, =
headborough | ˈedbrǝ, ˈhe-
heading | ˈedɪn, -ɪŋ, ˈhe-
headland | ˈedlǝnd, =
headless | ˈedlǝs, =
headlong | ˈedlɒŋ, =
headpiece / ~s | ˈedpi:s, = / -ɪz
headsman | ˈedzmǝn, =
headstall | ˈedstɑ:l, ˈhe-
headstrong | ˈedstrɒŋ, ˈhe-
head·y / ~ier | ˈedǝɪ, ˈhe- / -ǝɹ
heady-rash | ˈedǝɪ-ˈraʃ, ˈhe-
heal / Luc ~eth / ~ed | i:l, = / ˈi:lǝɵ, ˈhi:- / i:ld, =
healing | ˈi:lɪn, -ɪŋ, hi:-
health / ~s | elɵ, = / -s
healthful | ˈelɵfʊl, =
health-giving | ˈelɵ-ˈgɪvɪn, -ɪŋ, ˈhe-
healthsome | ˈelɵsǝm, =
healthy | ˈelɵǝɪ, ˈhe-
heap / ~s | i:p, = / -s
heap / ~est / ~ing / ~ed | i:p, = / -st / ˈi:pɪn, -ɪŋ, ˈhi:- / i:pt, hi:-, ept, he-
heaping | ˈi:pɪn, -ɪŋ, ˈhi:-
hear / ~est / ~s / ~eth / ~ing / ~d / ~dest | i:ɹ, hi:ɹ, ɛ:ɹ, hɛ:ɹ / -st / -z / ˈi:r·ǝɵ, ˈhi:-, ˈɛ:ɹ-, ˈhɛ:- / -ɪn, -ɪŋ / ɛ:ɹd, hɛ:-, ɐ:ɹd, hɐ:- / -st
hearer / ~s | ˈi:rǝɹ, ˈhi:-, ˈɛ:r-, ˈhɛ:- / -z
hearing | ˈi:rɪn, -ɪŋ, ˈhi:-, ˈɛ:r-, ˈhɛ:-
hearing / ~s | ˈi:rɪn, -ɪŋ, ˈhi:-, ˈɛ:r-, ˈhɛ:- / -z
hearsay | ˈi:ɹˌsɛ:, ˈhi:-, ˈɛ:ɹ-, ˈhɛ:-
hearse | ɛ:ɹs, hɛ:ɹs
hearse / ~d | m ˈɛ:ɹsɪd, ɛ:ɹst, hɛ:-
heart / ~’s / ~s / ~s’ | ɑ:ɹt, hɑ:- / -s
heartache | ˈɑ:ɹt-ˌɛ:tʃ, ˈhɑ:-
heart-blood | m ˈɑ:ɹt-ˌblɤd, ˌɑ:ɹt-ˈblɤd, ˈhɑ:-, ˌhɑ:-
heartbreak | ˈɑ:ɹt-ˌbrɛ:k, ˈhɑ:-
heartbreaking | ˈɑ:ɹt-ˌbrɛ:kɪn, -ɪŋ, ˈhɑ:-
heart-burn / ~ed | ˈɑ:ɹt-ˌbɐ:ɹnd, ˈhɑ:-
heart-burning | ˈɑ:ɹt-ˌbɐ:ɹnɪn, -ɪŋ, ˈhɑ:-
heart-dear | ˈɑ:ɹt-ˌdi:ɹ, ˈhɑ:-
hearted | ˈɑ:ɹtɪd, ˈhɑ:-
hearten | ˈɑ:ɹtǝn, ˈhɑ:-
heart-grief | ˈɑ:ɹt-ˌgri:f, ˈhɑ:-
hearth / ~s | ˈɑ:ɹɵ, ˈhɑ:- / -s
heart-hardening | m ˌɑ:ɹt-ˈɑ:ɹdnɪn, -ɪŋ, ˌhɑ:-, -ˈhɑ:-
heartily | m ˈɑ:ɹtɪˌlǝɪ, -tɪlǝɪ, -tlǝɪ, ˈhɑ:-
heartiness | m ˈɑ:ɹtɪˌnes, ˈhɑ:-
heartless | ˈɑ:ɹtlǝs, ˈhɑ:-
heart-offending | ˈɑ:ɹt-ǝˌfendɪn, -ɪŋ, ˈhɑ:-
heart’s ease | m ˌɑ:ɹts-ˈi:z, ˌhɑ:-
heartsick | m ˈɑ:ɹt-ˌsɪk, ˌɑ:ɹt-ˈsɪk, ˈhɑ:-, ˌhɑ:-
heartsore | ˈɑ:ɹt-ˌsɔ:ɹ, ˈhɑ:-
heart-sorrowing | ˌɑ:ɹt-ˈsɒrǝwɪn, -ɪŋ, ˌhɑ:-
heartstring / ~s | m ˈɑ:ɹt-ˌstrɪŋ, ˌɑ:ɹt-ˈstrɪŋ, ˈhɑ:-, ˌhɑ:- / -z
heart-struck | ˈɑ:ɹt-ˌstrɤk, ˈhɑ:-
heart-whole | ˈɑ:ɹt-ˌo:l, ˈhɑ:-, ˌho:-
hearty | ˈɑ:ɹtǝɪ, ˈhɑ:-
heat | i:t, =, ɛ:t, hɛ:-
heat / ~est / ~s / ~ed | i:t, =, ɛ:t, hɛ:- / -s, -st / -s / ˈi:tɪd, =, ˈɛ:tɪd, ˈhɛ:-
heated | ˈi:tɪd, =, ˈɛ:t-, ˈhɛ:-
heath | ɛ:ɵ, hɛ:ɵ, i:ɵ, =
heathen | ˈi:ðǝn, =
heathenish | ˈi:ðnɪʃ, -ðǝn-, =
heating | ˈi:tɪn, -ɪŋ, ˈhi:-, ˈɛ:t-, ˈhɛ:-
heat-oppressed | m ˈi:t-ǝˌpresɪd, ˈhi:-, ˈɛ:t-, ˈhɛ:-
heave / ~s / ~d | i:v, = / -z / m i:vd, =, ˈi:vɪd, ˈhi:-
heaven / ~’s / ~s / ~s’ | m ˈevǝn, ˈhe-, ɛ:n, hɛ:n, evn, he- / -z
heaven-bred | m ˈevn-ˌbred, ˈhe-, ˈɛ:n-, ˈhɛ:n-
heaven-kissing | m ˈevǝn-ˌkɪsɪn, -ɪŋ, ˈhe-
heavenly | m ˈevnlǝɪ, ˈhev-, ˈɛ:n-, ˈhɛ:n-
heaven-moving | ˈevǝn-ˌmɤvɪn, -ɪŋ, ˈhe-
heavily | m ˈevɪlǝɪ, -ˌlǝɪ, ˈhe-
heaviness | m ˈevɪnǝs, -ˌnes, ˈhe-
heaving | ˈi:vɪn, -ɪŋ, ˈhi:-
heaving / ~s | ˈi:vɪn, -ɪŋ, ˈhi:- / -z
heav·y / ~ier / ~iest | ˈevǝɪ, ˈhe- / -ǝɹ / -ǝst
heavy-gaited | ˈevǝɪ-ˌgɛ:tɪd, ˈhe-
heavy-sad | ˈevǝɪ-ˌsad, ˈhe-
hebenon | ˈebǝnǝn, ˈhe-
Hebrew | ˈi:bru:, ˈhi:-
Hecat, Hecate / ~’s | ˈekǝt, 1H6 3.2.64 ˈekǝˌti:, ˈhek- / -s
hectic | ˈektɪk, =
Hector / ~’s / ~s | ˈektǝɹ, ˈhe- / -z
Hecuba | m ˈekjǝˌba, -ǝbǝ, ˈhe-
hedge | edʒ, =
hedge / ~s | edʒ, = / ˈedʒɪz, =
hedge / ~s / ~d | edʒ, = / ˈedʒɪz, = / edʒd, =
hedge-born | ˈedʒ-ˌbɔ:ɹn, ˈhe-
hedgehog / ~s | ˈedʒɒg, ˈhe-, -hɒg / -z
hedge-pig | ˈedʒ-ˌpɪg, =
hedge-priest | ˈedʒ-ˌpri:st, =
hedge-sparrow | ˈedʒ-ˌsparǝ, -ro:, ˈhe-
heed | i:d, =
heed / ~ed | i:d, = / ˈi:dɪd, =
heedful / ~est | ˈi:dfʊl, = / -st
heedfully | m ˈi:dfʊˌlǝɪ, -fʊl-, -flǝɪ, ˈhi:-
heedless | ˈi:dlǝs, =
heel / ~s | i:l, = / -z
heel | i:l, =
heft / ~s | efts, =
heifer / ~’s / ~s | ˈefǝɹ, ˈhe- / -z
heigh, hey | ɛ:, hɛ:
heigh, hey / ~-ho | ˈɛ:-ˈo:, ˈhɛ:-ˈho:
height | ǝɪt, hǝɪt
heightened | ˈǝɪtǝnd, ˈhǝɪ-
heighth | ǝɪt, hǝɪt, -tɵ
heinous | ˈɛ:nǝs, ˈhɛ:-
